run_id,provider,model,model_label,planned_requests_manifest,raw_records,provider_successes_manifest,provider_successes_raw,provider_errors_manifest,provider_errors_raw,empty_visible_successes,max_token_or_incomplete_successes,nonempty_max_token_or_incomplete_successes,selected_tier1_records,selected_empty_visible_responses,selected_max_token_or_incomplete,selected_nonempty_max_token_or_incomplete,model_prompt_cells,cells_without_provider_success,cells_without_nonempty_success,manifest_git_commit,manifest_git_dirty,prompt_lock_sha256,raw_path
20260911T025930Z-openai-gpt-5-4-05a1b858,openai,gpt-5.4-2026-03-05,GPT-5.4,432,432,432,432,0,0,0,0,0,108,0,0,0,108,0,0,d519401030517df29f4ae8756739b9b29b3cfd74,False,cbc2eeed3ba49189a54a71d80aacaa17f9ae00892e4c2f3dd35001dc0a029ca8,data/raw/20260911T025930Z-openai-gpt-5-4-05a1b858.jsonl
20260911T033834Z-openai-gpt-6-astra-3dfb4bb7,openai,gpt-6-astra,GPT-6 Astra,432,432,432,432,0,0,0,0,0,108,0,0,0,108,0,0,279e48ae85eed92054d6dbba0d3d4137eab45865,True,cbc2eeed3ba49189a54a71d80aacaa17f9ae00892e4c2f3dd35001dc0a029ca8,data/raw/20260911T033834Z-openai-gpt-6-astra-3dfb4bb7.jsonl
20260911T043943Z-anthropic-sonnet-5-fa7119db,anthropic,claude-sonnet-5,Claude Sonnet 5,432,432,431,431,1,1,0,0,0,108,0,0,0,108,0,0,279e48ae85eed92054d6dbba0d3d4137eab45865,True,cbc2eeed3ba49189a54a71d80aacaa17f9ae00892e4c2f3dd35001dc0a029ca8,data/raw/20260911T043943Z-anthropic-sonnet-5-fa7119db.jsonl
20260911T052502Z-anthropic-opus-5-79b7582d,anthropic,claude-opus-5,Claude Opus 5,432,432,430,430,2,2,31,299,268,108,7,76,69,108,0,1,279e48ae85eed92054d6dbba0d3d4137eab45865,True,cbc2eeed3ba49189a54a71d80aacaa17f9ae00892e4c2f3dd35001dc0a029ca8,data/raw/20260911T052502Z-anthropic-opus-5-79b7582d.jsonl
