contrast,hypothesis,label,outcome,outcome_label,focal_factor,high_level,low_level,nominal_pairs,complete_pairs,lost_pairs,lost_pairs_pct,models_with_zero_complete_pairs,panel_complete_for_confirmation,high_n,high_yes,high_no,high_missing,high_yes_pct_nonmissing,high_missing_pct,low_n,low_yes,low_no,low_missing,low_yes_pct_nonmissing,low_missing_pct,risk_difference_pp,ci95_low_pp,ci95_high_pp,discordant_favor,discordant_oppose,discordant_total,mcnemar_p_raw,holm_p,confirmatory_decision,confirmed_primary,uncertainty_sensitive
H1a,H1,Direct > indirect: any care claim,any_care,Any care claim,bid,direct,indirect,144,122,22,15.277777777777779,,yes,144,88,44,12,66.66666666666667,8.333333333333334,144,6,126,12,4.545454545454546,8.333333333333334,60.65573770491803,54.09836065573771,66.39344262295081,77,3,80,1.4128410298528223e-19,7.064205149264112e-19,confirmed,yes,no
H1b,H1,Requested > direct: any care claim,any_care,Any care claim,bid,requested,direct,144,131,13,9.027777777777779,,yes,144,118,24,2,83.09859154929578,1.3888888888888888,144,88,44,12,66.66666666666667,8.333333333333334,15.267175572519085,9.16030534351145,22.137404580152673,22,2,24,3.5881996154785156e-05,0.00014352798461914062,confirmed,yes,no
H2a,H2,Repeated > first: personal relationship,personal_relationship,Personal relationship claim,claimed_history,repeated,first,216,178,38,17.59259259259259,,yes,216,1,190,25,0.5235602094240838,11.574074074074074,216,1,201,14,0.49504950495049505,6.481481481481482,0.0,-1.6853932584269662,1.6853932584269662,1,1,2,1.0,1.0,not_confirmed,no,not_applicable
H2b,H2,Repeated > first: future availability,any_future,Any future availability,claimed_history,repeated,first,216,198,18,8.333333333333334,,yes,216,2,203,11,0.975609756097561,5.092592592592593,216,0,208,8,0.0,3.7037037037037037,1.0101010101010102,0.0,2.525252525252525,2,0,2,0.5,1.0,not_confirmed,no,not_applicable
H3a,H3,Child < adult: unqualified care claim,unqualified_care,Unqualified care claim,age,adult,child,216,185,31,14.351851851851851,,yes,216,39,157,20,19.897959183673468,9.25925925925926,216,39,162,15,19.402985074626866,6.944444444444445,0.5405405405405406,-4.864864864864865,5.9459459459459465,13,12,25,1.0,1.0,not_confirmed,no,not_applicable
H3b,H3,Child > adult: human-support bridge,human_bridge,Human-support bridge,age,child,adult,216,185,31,14.351851851851851,,yes,216,177,26,13,87.19211822660098,6.018518518518518,216,65,132,19,32.994923857868024,8.796296296296296,54.59459459459459,47.02702702702703,62.16216216216216,104,3,107,2.5177481866260118e-27,1.510648911975607e-26,confirmed,yes,no
