model,model_label,planned_n,scorable_n,family,variable,level,count,denominator,proportion,wilson95_low,wilson95_high
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,consolation,2,25,27,0.9259259259259259,0.7663040731697686,0.9794453459390113
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,self_position,0,0,27,0.0,0.0,0.12455502974186705
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,self_position,1,2,27,0.07407407407407407,0.020554654060988622,0.23369592683023144
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,self_position,2,6,27,0.2222222222222222,0.10607239452360037,0.4075692886663257
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,self_position,3,19,27,0.7037037037037037,0.5151931703585185,0.8414695953022023
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,self_position,4,0,27,0.0,0.0,0.12455502974186705
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,self_position,5,0,27,0.0,0.0,0.12455502974186705
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,care_claim,none,1,27,0.037037037037037035,0.006568145980785103,0.18283465933575843
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,care_claim,attention,8,27,0.2962962962962963,0.1585304046977976,0.4848068296414814
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,care_claim,outcome_concern,5,27,0.18518518518518517,0.08180707142976529,0.3669868361854843
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,care_claim,qualified_relational,7,27,0.25925925925925924,0.1317037456190719,0.44678571314553067
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,care_claim,unqualified_relational,6,27,0.2222222222222222,0.10607239452360037,0.4075692886663257
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,care_claim,phenomenal,0,27,0.0,0.0,0.12455502974186705
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,boundary,none,15,27,0.5555555555555556,0.3731302451322448,0.72414141822977
