permutation_id,slot0_label,slot1_label,slot2_label,slot3_label,observed_assignment,rho_care_primary,rho_bridge_primary,rho_boundary_primary,T_primary,rho_care_missing0,rho_bridge_missing0,rho_boundary_missing0,T_missing0,rho_care_missing1,rho_bridge_missing1,rho_boundary_missing1,T_missing1,primary_rank_desc
23,Claude Sonnet 5,Claude Opus 5,GPT-6 Astra,GPT-5.4,True,1.0,0.39999999999999997,1.0,0.7999999999999999,0.9486832980505139,0.39999999999999997,1.0,0.7828944326835047,1.0,0.39999999999999997,0.9486832980505139,0.7828944326835047,1
17,Claude Sonnet 5,Claude Opus 5,GPT-5.4,GPT-6 Astra,False,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.632455532033676,0.7999999999999999,0.7999999999999999,0.7441518440112252,0.7999999999999999,0.7999999999999999,0.7378647873726218,0.7792882624575407,1
11,Claude Sonnet 5,GPT-5.4,Claude Opus 5,GPT-6 Astra,False,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.316227766016838,0.39999999999999997,0.39999999999999997,0.3720759220056126,0.39999999999999997,0.39999999999999997,0.21081851067789195,0.3369395035592973,3
6,GPT-5.4,Claude Opus 5,Claude Sonnet 5,GPT-6 Astra,False,0.39999999999999997,1.0,-0.39999999999999997,0.3333333333333333,0.21081851067789195,1.0,-0.39999999999999997,0.27027283689263065,0.39999999999999997,1.0,-0.316227766016838,0.36125741132772066,4
20,GPT-6 Astra,Claude Opus 5,Claude Sonnet 5,GPT-5.4,False,0.7999999999999999,0.7999999999999999,-0.7999999999999999,0.26666666666666666,0.7378647873726218,0.7999999999999999,-0.7999999999999999,0.24595492912420727,0.7999999999999999,0.7999999999999999,-0.632455532033676,0.3225148226554413,5
9,Claude Sonnet 5,GPT-5.4,GPT-6 Astra,Claude Opus 5,False,0.7999999999999999,-0.7999999999999999,0.7999999999999999,0.26666666666666666,0.9486832980505139,-0.7999999999999999,0.7999999999999999,0.31622776601683794,0.7999999999999999,-0.7999999999999999,0.632455532033676,0.210818510677892,5
4,GPT-5.4,Claude Opus 5,GPT-6 Astra,Claude Sonnet 5,False,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,-0.10540925533894598,0.19999999999999998,0.19999999999999998,0.098196914887018,0.19999999999999998,0.19999999999999998,0.316227766016838,0.2387425886722793,7
14,GPT-6 Astra,Claude Opus 5,GPT-5.4,Claude Sonnet 5,False,0.39999999999999997,0.39999999999999997,-0.39999999999999997,0.13333333333333333,0.10540925533894598,0.39999999999999997,-0.39999999999999997,0.03513641844631533,0.39999999999999997,0.39999999999999997,-0.21081851067789195,0.196393829774036,8
21,Claude Sonnet 5,GPT-6 Astra,Claude Opus 5,GPT-5.4,False,0.19999999999999998,-0.19999999999999998,0.19999999999999998,0.06666666666666667,0.316227766016838,-0.19999999999999998,0.19999999999999998,0.105409255338946,0.19999999999999998,-0.19999999999999998,-0.10540925533894598,-0.03513641844631533,9
18,Claude Opus 5,Claude Sonnet 5,GPT-5.4,GPT-6 Astra,False,-1.0,0.39999999999999997,0.6000000000000001,1.850371707708594e-17,-0.9486832980505139,0.39999999999999997,0.6000000000000001,0.01710556731649539,-1.0,0.39999999999999997,0.7378647873726218,0.04595492912420727,10
5,GPT-5.4,Claude Sonnet 5,Claude Opus 5,GPT-6 Astra,False,-0.7999999999999999,0.7999999999999999,0.0,0.0,-0.7378647873726218,0.7999999999999999,0.0,0.020711737542459363,-0.7999999999999999,0.7999999999999999,0.21081851067789195,0.07027283689263066,11
24,Claude Opus 5,Claude Sonnet 5,GPT-6 Astra,GPT-5.4,False,-0.7999999999999999,0.0,0.7999999999999999,0.0,-0.632455532033676,0.0,0.7999999999999999,0.05584815598877465,-0.7999999999999999,0.0,0.9486832980505139,0.04956109935017131,11
19,GPT-6 Astra,Claude Sonnet 5,Claude Opus 5,GPT-5.4,False,-0.39999999999999997,0.6000000000000001,-0.39999999999999997,-0.06666666666666661,-0.21081851067789195,0.6000000000000001,-0.39999999999999997,-0.003606170225963943,-0.39999999999999997,0.6000000000000001,-0.10540925533894598,0.03153024822035138,13
12,Claude Opus 5,GPT-5.4,Claude Sonnet 5,GPT-6 Astra,False,-0.19999999999999998,0.19999999999999998,-0.19999999999999998,-0.06666666666666667,-0.316227766016838,0.19999999999999998,-0.19999999999999998,-0.105409255338946,-0.19999999999999998,0.19999999999999998,-0.316227766016838,-0.105409255338946,14
15,Claude Sonnet 5,GPT-6 Astra,GPT-5.4,Claude Opus 5,False,0.39999999999999997,-1.0,0.39999999999999997,-0.0666666666666667,0.632455532033676,-1.0,0.39999999999999997,0.010818510677891987,0.39999999999999997,-1.0,0.10540925533894598,-0.1648635815536847,15
3,GPT-5.4,Claude Sonnet 5,GPT-6 Astra,Claude Opus 5,False,-0.39999999999999997,-0.39999999999999997,0.39999999999999997,-0.13333333333333333,-0.10540925533894598,-0.39999999999999997,0.39999999999999997,-0.03513641844631533,-0.39999999999999997,-0.39999999999999997,0.632455532033676,-0.05584815598877465,16
13,GPT-6 Astra,Claude Sonnet 5,GPT-5.4,Claude Opus 5,False,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,0.10540925533894598,-0.19999999999999998,-0.19999999999999998,-0.098196914887018,-0.19999999999999998,-0.19999999999999998,0.10540925533894598,-0.098196914887018,17
10,Claude Opus 5,GPT-5.4,GPT-6 Astra,Claude Sonnet 5,False,-0.39999999999999997,-0.6000000000000001,0.39999999999999997,-0.20000000000000004,-0.632455532033676,-0.6000000000000001,0.39999999999999997,-0.27748517734455874,-0.39999999999999997,-0.6000000000000001,0.316227766016838,-0.22792407799438733,18
7,GPT-6 Astra,GPT-5.4,Claude Sonnet 5,Claude Opus 5,False,0.6000000000000001,-0.39999999999999997,-1.0,-0.2666666666666666,0.7378647873726218,-0.39999999999999997,-1.0,-0.22071173754245935,0.6000000000000001,-0.39999999999999997,-0.9486832980505139,-0.24956109935017126,19
8,GPT-6 Astra,GPT-5.4,Claude Opus 5,Claude Sonnet 5,False,0.0,0.0,-0.7999999999999999,-0.26666666666666666,-0.21081851067789195,0.0,-0.7999999999999999,-0.3369395035592973,0.0,0.0,-0.7378647873726218,-0.24595492912420727,20
22,Claude Opus 5,GPT-6 Astra,Claude Sonnet 5,GPT-5.4,False,-0.39999999999999997,-0.39999999999999997,-0.39999999999999997,-0.39999999999999997,-0.316227766016838,-0.39999999999999997,-0.39999999999999997,-0.3720759220056126,-0.39999999999999997,-0.39999999999999997,-0.632455532033676,-0.4774851773445586,21
1,GPT-5.4,GPT-6 Astra,Claude Sonnet 5,Claude Opus 5,False,0.0,-0.7999999999999999,-0.7999999999999999,-0.5333333333333333,0.21081851067789195,-0.7999999999999999,-0.7999999999999999,-0.46306049644070263,0.0,-0.7999999999999999,-0.9486832980505139,-0.5828944326835046,22
2,GPT-5.4,GPT-6 Astra,Claude Opus 5,Claude Sonnet 5,False,-0.6000000000000001,-0.39999999999999997,-0.6000000000000001,-0.5333333333333333,-0.7378647873726218,-0.39999999999999997,-0.6000000000000001,-0.5792882624575406,-0.6000000000000001,-0.39999999999999997,-0.7378647873726218,-0.5792882624575406,22
16,Claude Opus 5,GPT-6 Astra,GPT-5.4,Claude Sonnet 5,False,-0.7999999999999999,-0.7999999999999999,0.0,-0.5333333333333333,-0.9486832980505139,-0.7999999999999999,0.0,-0.5828944326835046,-0.7999999999999999,-0.7999999999999999,-0.21081851067789195,-0.603606170225964,22
